rank,site_id,file,line,function,c_symbol,malloc_count,malloc_bytes,free_count,free_bytes
76,4b1e2bd6f3,sqlite3.go,2288,finalizeCachedStmt,sqlite3_db_filename,0,0,0,0
77,4e0a35db7a,sqlite3.go,2920,isInterruptErr,sqlite3_reset,0,0,0,0
78,4e5af08929,callback.go,126,updateHookTrampoline,GoString,0,0,0,0
79,4ed5612d28,sqlite3.go,754,Version,sqlite3_set_authorizer,0,0,0,0
80,4f4ae1ecb9,sqlite3.go,975,sqlite3CreateFunction,free,0,0,0,0
81,50e16a72b7,backup.go,50,<package>,free,0,0,0,0
82,531950d2a5,sqlite3.go,2015,lastError,sqlite3_close_v2,0,0,0,0
83,5460b93cde,callback.go,343,callbackArgString,sqlite3_value_bytes,0,0,0,0
84,55f01100a8,sqlite3.go,1975,lastError,sqlite3_close_v2,0,0,0,0
85,57fabcd2a1,sqlite3.go,1116,lastError,GoString,0,0,0,0
86,5874676662,sqlite3.go,2383,finalizeCachedStmt,free,0,0,0,0
87,59e3817652,sqlite3.go,364,Version,GoString,0,0,0,0
88,5e7e5d09e0,sqlite3_load_extension.go,98,<package>,sqlite3_errmsg,0,0,0,0
89,5ec1e2df7a,callback.go,544,callbackRetGeneric,sqlite3_result_null,0,0,0,0
90,5ed52088b6,sqlite3.go,707,Version,sqlite3_rollback_hook,0,0,0,0
91,5ef6e2b842,sqlite3_opt_preupdate_hook.go,100,<package>,sqlite3_value_double,0,0,0,0
92,5f730d4034,sqlite3.go,1031,lastError,GoString,0,0,0,0
93,60bcb722e4,sqlite3_context.go,88,<package>,sqlite3_result_int,0,0,0,0
94,6132508de0,sqlite3.go,711,Version,sqlite3_rollback_hook,0,0,0,0
95,61792d2e8a,sqlite3_load_extension.go,88,<package>,sqlite3_enable_load_extension,0,0,0,0
96,6262641174,sqlite3_opt_vtable.go,581,goVFilter,GoString,0,0,0,0
97,62e18549c8,callback.go,252,callbackArgInt64,sqlite3_value_type,0,0,0,0
98,639802ecfe,sqlite3_trace.go,318,popTraceMapping,sqlite3_trace_v2,0,0,0,0
99,6437d168ef,sqlite3_opt_serialize.go,95,<package>,sqlite3_deserialize,0,0,0,0
100,68e8688b67,sqlite3_opt_vtable.go,801,goVUpdate,free,0,0,0,0
