rank,site_id,file,line,function,c_symbol,conversion_count,conversion_bytes,inbound_conversion_count,inbound_conversion_bytes,outbound_conversion_count,outbound_conversion_bytes
71,4015bc9457,sqlite3_opt_preupdate_hook.go,105,<package>,sqlite3_value_bytes,0,0,0,0,0,0
72,4090bd71ad,sqlite3_opt_preupdate_hook.go,57,<package>,sqlite3_preupdate_depth,0,0,0,0,0,0
73,40ec7b51eb,sqlite3_context.go,127,<package>,my_result_text,0,0,0,0,0,0
74,40f24b1588,sqlite3_load_extension.go,93,<package>,sqlite3_enable_load_extension,0,0,0,0,0,0
75,41a13b6cd7,sqlite3.go,1996,lastError,sqlite3_close_v2,0,0,0,0,0,0
76,41bdbe068a,callback.go,258,callbackArgInt64,sqlite3_value_int64,0,0,0,0,0,0
77,420020a4a1,sqlite3_load_extension.go,148,<package>,sqlite3_load_extension,0,0,0,0,0,0
78,435a1384bb,sqlite3_load_extension.go,72,<package>,sqlite3_enable_load_extension,0,0,0,0,0,0
79,43840c7d58,sqlite3.go,669,Version,sqlite3_create_collation,0,0,0,0,0,0
80,43ab48510c,,,,,0,0,0,0,0,0
81,44b7254f54,,,,,0,0,0,0,0,0
82,460b942ffa,sqlite3_trace.go,90,fillDBError,sqlite3_extended_errcode,0,0,0,0,0,0
83,47a089267f,sqlite3_opt_preupdate_hook.go,95,<package>,sqlite3_value_int64,0,0,0,0,0,0
84,480b5dbefe,sqlite3_load_extension.go,81,<package>,GoString,0,0,0,0,0,0
85,4824e3bc4e,callback.go,224,deleteHandles,free,0,0,0,0,0,0
86,4a978d4d9d,callback.go,353,callbackArgString,sqlite3_value_text,0,0,0,0,0,0
87,4b1e2bd6f3,sqlite3.go,2288,finalizeCachedStmt,sqlite3_db_filename,0,0,0,0,0,0
88,4e0a35db7a,sqlite3.go,2920,isInterruptErr,sqlite3_reset,0,0,0,0,0,0
89,4ed5612d28,sqlite3.go,754,Version,sqlite3_set_authorizer,0,0,0,0,0,0
90,4f4ae1ecb9,sqlite3.go,975,sqlite3CreateFunction,free,0,0,0,0,0,0
91,50e16a72b7,backup.go,50,<package>,free,0,0,0,0,0,0
92,531950d2a5,sqlite3.go,2015,lastError,sqlite3_close_v2,0,0,0,0,0,0
93,5460b93cde,callback.go,343,callbackArgString,sqlite3_value_bytes,0,0,0,0,0,0
94,55f01100a8,sqlite3.go,1975,lastError,sqlite3_close_v2,0,0,0,0,0,0
95,5874676662,sqlite3.go,2383,finalizeCachedStmt,free,0,0,0,0,0,0
96,5e7e5d09e0,sqlite3_load_extension.go,98,<package>,sqlite3_errmsg,0,0,0,0,0,0
97,5ec1e2df7a,callback.go,544,callbackRetGeneric,sqlite3_result_null,0,0,0,0,0,0
98,5ed52088b6,sqlite3.go,707,Version,sqlite3_rollback_hook,0,0,0,0,0,0
99,5ef6e2b842,sqlite3_opt_preupdate_hook.go,100,<package>,sqlite3_value_double,0,0,0,0,0,0
100,60bcb722e4,sqlite3_context.go,88,<package>,sqlite3_result_int,0,0,0,0,0,0
