rank,site_id,file,line,function,c_symbol,pointer_check_count,pointer_check_ns,call_count,total_cgo_ns
72,4ed5612d28,sqlite3.go,754,Version,sqlite3_set_authorizer,0,0,1,26208
73,4f4ae1ecb9,sqlite3.go,975,sqlite3CreateFunction,free,0,0,2,166
74,50e16a72b7,backup.go,50,<package>,free,0,0,3,500
75,531950d2a5,sqlite3.go,2015,lastError,sqlite3_close_v2,0,0,0,0
76,5460b93cde,callback.go,343,callbackArgString,sqlite3_value_bytes,0,0,0,0
77,55f01100a8,sqlite3.go,1975,lastError,sqlite3_close_v2,0,0,0,0
78,57fabcd2a1,sqlite3.go,1116,lastError,GoString,0,0,3,166
79,5874676662,sqlite3.go,2383,finalizeCachedStmt,free,0,0,0,0
80,59e3817652,sqlite3.go,364,Version,GoString,0,0,3,1875
81,5e7e5d09e0,sqlite3_load_extension.go,98,<package>,sqlite3_errmsg,0,0,0,0
82,5ec1e2df7a,callback.go,544,callbackRetGeneric,sqlite3_result_null,0,0,0,0
83,5ed52088b6,sqlite3.go,707,Version,sqlite3_rollback_hook,0,0,0,0
84,5ef6e2b842,sqlite3_opt_preupdate_hook.go,100,<package>,sqlite3_value_double,0,0,0,0
85,5f730d4034,sqlite3.go,1031,lastError,GoString,0,0,41,2835
86,60bcb722e4,sqlite3_context.go,88,<package>,sqlite3_result_int,0,0,0,0
87,6132508de0,sqlite3.go,711,Version,sqlite3_rollback_hook,0,0,1,24542
88,61792d2e8a,sqlite3_load_extension.go,88,<package>,sqlite3_enable_load_extension,0,0,1,125
89,625f108886,sqlite3.go,1105,lastError,CString,0,0,1197,132618
90,6262641174,sqlite3_opt_vtable.go,581,goVFilter,GoString,0,0,0,0
91,62e18549c8,callback.go,252,callbackArgInt64,sqlite3_value_type,0,0,37,1581
92,639802ecfe,sqlite3_trace.go,318,popTraceMapping,sqlite3_trace_v2,0,0,0,0
93,6437d168ef,sqlite3_opt_serialize.go,95,<package>,sqlite3_deserialize,0,0,1,7250
94,65b6910b1b,sqlite3.go,2336,finalizeCachedStmt,CString,0,0,1,42
95,65c8963533,callback.go,193,newHandle,malloc,0,0,51531,3075155
96,68e8688b67,sqlite3_opt_vtable.go,801,goVUpdate,free,0,0,0,0
97,69fe122172,sqlite3.go,665,Version,free,0,0,2,126
98,6ab1832fa2,sqlite3_context.go,73,<package>,sqlite3_result_double,0,0,0,0
99,6af4cd2ade,sqlite3_opt_serialize.go,34,<package>,CString,0,0,1,125
100,6c3b16d491,sqlite3.go,1124,lastError,free,0,0,1197,100875
