rank,site_id,file,line,function,c_symbol,call_count,total_cgo_ns,avg_cgo_ns,total_boundary_ns,boundary_ratio,scheduler_block_ns
56,22312848ed,sqlite3.go,2751,isInterruptErr,_sqlite3_reset_clear,4,1042,260.5,0,0.0,0
57,43ab48510c,,,,,2,1042,521.0,0,0.0,0
58,4e0a35db7a,sqlite3.go,2920,isInterruptErr,sqlite3_reset,3,958,319.3333333333333,0,0.0,0
59,43840c7d58,sqlite3.go,669,Version,sqlite3_create_collation,2,833,416.5,0,0.0,0
60,9eebc808a9,sqlite3.go,357,Version,sqlite3_sourceid,3,833,277.6666666666667,0,0.0,0
61,e1872f8f7c,callback.go,86,compareTrampoline,GoStringN,32,791,24.71875,0,0.0,0
62,48388421f8,sqlite3.go,2229,finalizeCachedStmt,GoString,7,750,107.14285714285714,0,0.0,0
63,d14811ede2,sqlite3.go,2460,bindValue,sqlite3_bind_null,5,708,141.6,0,0.0,0
64,935274f538,,,,,32,666,20.8125,0,0.0,0
65,1b32fe3ef7,callback.go,150,authorizerTrampoline,GoString,18,626,34.77777777777778,0,0.0,0
66,a255d68df5,,,,,18,626,34.77777777777778,0,0.0,0
67,bbb75a6394,sqlite3.go,2473,bindValue,sqlite3_bind_int,3,584,194.66666666666666,0,0.0,0
68,e82150d004,sqlite3.go,345,Version,sqlite3_libversion,3,584,194.66666666666666,0,0.0,0
69,8ba0674b69,sqlite3_load_extension.go,154,<package>,GoString,2,583,291.5,0,0.0,0
70,e94ce7b3d5,sqlite3.go,2189,finalizeCachedStmt,sqlite3_finalize,5,583,116.6,0,0.0,0
71,9b26957d3b,sqlite3.go,2154,lastError,_sqlite3_reset_clear,7,543,77.57142857142857,0,0.0,0
72,bcf85c7418,callback.go,154,authorizerTrampoline,GoString,18,543,30.166666666666668,0,0.0,0
73,bf7b3454e9,backup.go,91,<package>,sqlite3_backup_pagecount,6,542,90.33333333333333,0,0.0,0
74,6f45cd7d28,sqlite3.go,563,Version,sqlite3_aggregate_context,12,502,41.833333333333336,0,0.0,0
75,50e16a72b7,backup.go,50,<package>,free,3,500,166.66666666666666,0,0.0,0
76,d0ebf15a5a,backup.go,32,<package>,CString,3,500,166.66666666666666,0,0.0,0
77,dfc28bb4fb,sqlite3_load_extension.go,143,<package>,sqlite3_free,2,500,250.0,0,0.0,0
78,70ab3600f0,callback.go,357,callbackArgString,sqlite3_value_bytes,8,418,52.25,0,0.0,0
