rank,severity,rule,site_id,file,line,function,c_symbol,location_source,summary,evidence_json,recommendation,manual_label,manual_reason,optimization_idea
1,medium,small-call-detector,28ac715d93,zstd_stream.go,192,finalizeWriter,ZSTD_compressStream2_wrapper,scan,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 141.2, ""boundary_ratio"": ""unknown"", ""call_count"": 3003, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.,,,
2,medium,pointer-check-overhead-detector,28ac715d93,zstd_stream.go,192,finalizeWriter,ZSTD_compressStream2_wrapper,scan,cgo pointer checking is a visible part of the cross-language cost.,"{""estimated_ratio"": 0.262, ""pointer_check_count"": 3003, ""pointer_check_ms"": 0.15}","Audit whether the C function stores Go pointers or calls back into Go. If the cgo safety contract holds, consider #cgo noescape or reducing pointer passing.",,,
